    0.10337E-04    0.59126E+02
    0.10441E-04    0.59691E+02
    0.10546E-04    0.60262E+02
    0.10651E-04    0.60837E+02
    0.10759E-04    0.61419E+02
    0.10867E-04    0.62005E+02
    0.10976E-04    0.62598E+02
    0.11086E-04    0.63196E+02
    0.11198E-04    0.63800E+02
    0.11310E-04    0.64409E+02
    0.11424E-04    0.65024E+02
    0.11539E-04    0.65646E+02
    0.11655E-04    0.66273E+02
    0.11772E-04    0.66906E+02
    0.11890E-04    0.67545E+02
    0.12010E-04    0.68190E+02
    0.12130E-04    0.68842E+02
    0.12252E-04    0.69500E+02
    0.12375E-04    0.70164E+02
    0.12500E-04    0.70834E+02
    0.12625E-04    0.71511E+02
    0.12752E-04    0.72194E+02
    0.12880E-04    0.72884E+02
    0.13010E-04    0.73580E+02
    0.13141E-04    0.74283E+02
    0.13273E-04    0.74992E+02
    0.13406E-04    0.75709E+02
    0.13541E-04    0.76432E+02
    0.13677E-04    0.77162E+02
    0.13814E-04    0.77900E+02
    0.13953E-04    0.78644E+02
    0.14093E-04    0.79395E+02
    0.14235E-04    0.80154E+02
    0.14378E-04    0.80919E+02
    0.14523E-04    0.81693E+02
    0.14668E-04    0.82473E+02
    0.14816E-04    0.83261E+02
    0.14965E-04    0.84056E+02
    0.15115E-04    0.84859E+02
    0.15267E-04    0.85670E+02
    0.15421E-04    0.86489E+02
    0.15576E-04    0.87315E+02
    0.15732E-04    0.88149E+02
    0.15890E-04    0.88991E+02
    0.16050E-04    0.89841E+02
    0.16211E-04    0.90700E+02
    0.16374E-04    0.91566E+02
    0.16539E-04    0.92441E+02
    0.16705E-04    0.93324E+02
    0.16873E-04    0.94216E+02
    0.17042E-04    0.95116E+02
    0.17214E-04    0.96025E+02
    0.17387E-04    0.96942E+02
    0.17561E-04    0.97868E+02
    0.17738E-04    0.98803E+02
    0.17916E-04    0.99747E+02
    0.18096E-04    0.10070E+03
    0.18278E-04    0.10166E+03
    0.18462E-04    0.10263E+03
    0.18647E-04    0.10361E+03
    0.18835E-04    0.10460E+03
    0.19024E-04    0.10560E+03
    0.19215E-04    0.10661E+03
    0.19408E-04    0.10763E+03
    0.19603E-04    0.10866E+03
    0.19800E-04    0.10970E+03
    0.19999E-04    0.11074E+03
    0.20200E-04    0.11180E+03
    0.20403E-04    0.11287E+03
    0.20608E-04    0.11395E+03
    0.20816E-04    0.11504E+03
    0.21025E-04    0.11614E+03
    0.21236E-04    0.11725E+03
    0.21449E-04    0.11837E+03
    0.21665E-04    0.11950E+03
    0.21883E-04    0.12064E+03
    0.22103E-04    0.12179E+03
    0.22325E-04    0.12295E+03
    0.22549E-04    0.12413E+03
    0.22776E-04    0.12532E+03
    0.23005E-04    0.12651E+03
    0.23236E-04    0.12772E+03
    0.23469E-04    0.12894E+03
    0.23705E-04    0.13017E+03
    0.23944E-04    0.13142E+03
    0.24184E-04    0.13267E+03
    0.24427E-04    0.13394E+03
    0.24673E-04    0.13522E+03
    0.24921E-04    0.13651E+03
    0.25171E-04    0.13782E+03
    0.25424E-04    0.13913E+03
    0.25680E-04    0.14046E+03
